Timestamp,Reviewer name,Example name,Example URL,How many lines long is the example?,Please select the programming concepts used in this example.,Please select the development and programming concepts this example demonstrates well.,"Copy and past the code into this analyzer:  https://editor.p5js.org/cfoss/full/T7fRjDnjW
Paste the output text here. Check for errors and edit as needed.","From the list above, which items are a clearly demonstrated focus of this example?","Please select all tags that describe this example (including its category, themes, end goal, etc.).","If there are any additional terms that could be used as tags to describe this example, list them here:",What senses are required to fully engage with what the sketch renders?,Is/are the color contrast(s) in the resulting render high enough so that the visitor can clearly understand what is being demonstrated? (Use the WebAIM Color Contrast checker at WCAG AA requirements.),"If there is a visual render, is the resulting render animated?","If there is a visual render and it is animated, does the animation automatically start when the page loads?","If there is a visual render and it is animated, does the render produce quick flashing lights? (See WCAG 2.3.1 for more information.)","If you have any additional notes on accessibility, include them here.",Is there a paragraph section above the example sketch?,Use the Hemmingway App to evaluate the reading level of the intro paragraph.,"If the paragraph contains any dev terms or concepts that should link to any p5.js Reference pages and/or external assisting content, such as MDN docs or W3C docs, please copy and paste the term or concept in the text input below.",Note any typos or spelling errors in the introductory paragraph.,"If the paragraph includes any content that does not read as both friendly & formal, note it here.","If the paragraph includes any content that does not translate well between generations and cultures, note it here.","If the paragraph includes any irrelevant/distracting content, note it here.","If you have any additional notes about the introduction paragraph, include them here.",How would you rate the number of comments in terms of assisting the reader through the code?,Note any typos or spelling errors in the comments.,"If the comments include any content that does not read as both friendly & formal, note the line number and content here.","If the comments include any content that does not translate well between generations and cultures, note the line number and content here.","If the comments include any irrelevant/distracting content, note the line number and content here.","If you have any additional notes about the comments, include them here.","What programming techniques or parts of the API, if any, do not need to be included in this example?",How fragile is the example with change?,"If you have any additional notes about the quality of the demonstration, include them here.",Are any variable and/or function names abbreviated?,How clear and descriptive are the names for variables and defined functions?,Does it use prototype syntax?,Are any variables declared using the var keyword?,"If there is anything about the code itself that appears out of date or could be better implemented and is not captured by the questions above, note that here.","Is the ""this"" keyword used?",Is the const keyword used?,What units are used for angles?,"If angles in degrees are used, which of these functions are called?",How many global variables are declared?,How many local variables are declared?,How many object properties (excluding functions) are declared?,How many object methods are declared (including constructor)?,Does it use arrow functions?,"Does it use variable increment/decrement/relative assignment operators?
",How would you label the difficulty of this example?,"If you have any additional notes about the skill level, include them here.","In your opinion, how would you rate the helpfulness of this example to someone learning creative coding through p5?","If you have any additional notes on this example not captured by the previous questions, include them here."
10/27/2023 11:45:05,Caleb,Inheritance,https://p5js.org/examples/objects-inheritance.html,63,"custom classes, method calling, object property assignment","custom classes, object property assignment","background, createCanvas, draw, ellipse, height, line, noStroke, pop, push, rotate, setup, stroke, strokeWeight, translate, width",rotate,animation,Object Oriented Programming,Visual,No,Yes,Yes,No,,Yes,Grades 7 and above,"Classes:  https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Classes, ",,,,,"Does not describe specifically what the example produces, just the concepts used",1,,,,,,Matrix transformations,3,Why does the display method modify the angle property? This means that speed is being added to the SpinArm object twice every frame,No,4,No,No,Missing/incorrect indentation,Yes,No,Radians,N/A or neither,2,0,4,6,No,Yes,Advanced,,6,
10/23/2023 22:19:05,Kathryn,Input and Button,https://p5js.org/examples/dom-input-and-button.html,34,"for loop, custom variables, custom functions, method calling","custom variables, method calling","CENTER, createButton, createCanvas, createElement, createInput, fill, height, mousePressed, PI, pop, push, random, rotate, setup, text, textAlign, textSize, translate, width","createButton, createInput","interactivity, typography",DOM,"Visual, Interactive/Kinesthetic",No,No,,,No tabbing/screen reader access into the iframe,Yes,Grade 5 and below,Input and Button,"Maybe ""[how] it affects the canvas?""",,,,No context is provided about the input button and canvas. WAY too short.,1,,,,,,,2,,No,3,No,No,,No,Yes,Radians,radians,3,1,0,0,No,Yes,Intermediate,,8,
10/29/2023 21:06:48,Amy Chen,Input Keyboard: Editor Mode,https://editor.p5js.org/malayvasa2001/sketches/Pi2EyKvlg,23,"if/else, custom variables",if/else,"background, CENTER, createCanvas, DOWN_ARROW, draw, keyCode, LEFT, LEFT_ARROW, rect, rectMode, RIGHT, RIGHT_ARROW, setup, UP_ARROW","DOWN_ARROW, keyCode, LEFT, LEFT_ARROW, RIGHT, RIGHT_ARROW, UP_ARROW",interactivity,,"Visual, Interactive/Kinesthetic",No,,,,,No,,,,,,,,1,,,,,Comments to clarify how the code functions before like 13 would be helpful,,1,,Yes,5,No,Yes,,No,No,N/A,N/A or neither,0,2,0,0,Yes,No,Beginner,,10,
10/29/2023 15:34:11,Caleb,Instance Container,https://p5js.org/examples/instance-mode-instance-container.html,82,"custom variables, method calling, function used as variable (example: https://p5js.org/examples/instance-mode-instantiation.html)",function used as variable (example: https://p5js.org/examples/instance-mode-instantiation.html),"background, createCanvas, setup",none,none of the above,Instance Mode,This example does not include the rendered result (which is not the focus of the example),N/A (No visual render created),,,,,Yes,Grades 7 and above,,"""*"" after ""...an html node itself""",,,,"The first sentence does not contextualize what it is referring to. It seems to be referencing the previous instance mode example. Perhaps they could be combined?

The paragraph refers to ""three different options"", but the code includes four",3,,,,"Lines 21, 42, and 63 refer to a ""pointer"", which I don't think is an accurate term for the context. ""reference to an element"" or just ""element"" would be more clear.",,,5,,No,3,No,No,getElementsbyTagName('body') could be replaced with document.body,No,No,N/A,N/A or neither,6,0,0,4,No,No,Advanced,,5,
10/29/2023 15:11:01,Caleb,Instantiation,https://p5js.org/examples/instance-mode-instantiation.html,30,"method calling, function used as variable (example: https://p5js.org/examples/instance-mode-instantiation.html)",function used as variable (example: https://p5js.org/examples/instance-mode-instantiation.html),"background, createCanvas, draw, fill, rect, setup",none,none of the above,Instance Mode,Visual,Yes,No,,,,Yes,Grade 5 and below,,,,,,"Only one sentence, would benefit from much more detail",3,,,,,"Global mode comparison is helpful, but instance mode has no comments and could really use them",,3,,No,5,No,No,,No,No,N/A,N/A or neither,1,2,0,2,No,No,Intermediate,,6,This could use an explanation on the benefits of running p5 in instance mode
10/24/2023 13:20:46,Amy Chen,Interactivity 1,https://p5js.org/examples/hello-p5-interactivity-1.html,32,if/else,if/else,"background, createCanvas, dist, draw, ellipse, fill, mousePressed, mouseX, mouseY, random, setup, stroke, strokeWeight","mousePressed, mouseX, mouseY, random, ",interactivity,Beginner,"Visual, Interactive/Kinesthetic","Color is random, likely to fail unless color is <25",,,,,No,,,,,,,,5,,,,,,,1,,Yes,4,Yes,No,,No,No,N/A,N/A or neither,3,1,0,0,No,No,Beginner,,10,
10/31/2023 13:15:00,Amy Chen,Interactivity 1 - Revised,https://p5js.org/examples/hello-p5-interactivity-1.html,32,"if/else, custom variables",custom variables,"background, createCanvas, dist, draw, ellipse, fill, mousePressed, mouseX, mouseY, random, setup, stroke, strokeWeight","ellipse, fill, mousePressed, mouseX, mouseY, random",interactivity,,"Visual, Interactive/Kinesthetic",No,,,,"Suggestion - Changing the background to a different color, and adding hue to the circle to create a stronger contrasting image. ",No,,,,,,,,5,,,,,Line 7 - Suggestion - Including why the number 255 is included would help the view understand color better. ,,1,,Yes,5,No,No,,No,No,N/A,N/A or neither,3,1,0,0,No,No,Beginner,,10,
10/24/2023 13:33:20,Amy Chen,Interactivity 2,https://p5js.org/examples/hello-p5-interactivity-2.html,20,none of the above,none of the above,"background, colorMode, createCanvas, createSlider, draw, ellipse, fill, HSB, setup, stroke, strokeWeight","createSlider, colorMode",interactivity,,"Visual, Interactive/Kinesthetic",The color changes based on user interaction,,,,The slider was slightly difficult to locate / was not obvious ,No,,,,,,,,5,,,,,,,2,,Yes,5,No,No,,No,No,N/A,N/A or neither,1,0,0,0,No,No,Beginner,,10,
10/31/2023 13:20:53,Amy Chen,Interactivity 2 - Revised,https://p5js.org/examples/hello-p5-interactivity-2.html,21,custom variables,none of the above,"background, colorMode, createCanvas, createSlider, draw, ellipse, fill, HSB, setup, stroke, strokeWeight","colorMode, createSlider, HSB, fill",interactivity,,Visual,No,,,,"Suggestion - Changing the background to a different color, and adding hue to the circle to create a stronger contrasting image. 
The slider is small, it was difficult to locate at first. ",No,,,,,,,,5,,,,,,,2,,Yes,5,No,No,,No,No,N/A,N/A or neither,1,0,0,0,No,No,Beginner,,10,
10/25/2023 3:03:08,Lance Cole,Iteration,https://p5js.org/examples/control-iteration.html,38,"for loop, custom variables, method calling","for loop, custom variables, method calling","background, createCanvas, fill, noStroke, rect, setup","background, createCanvas, fill, noStroke, rect, setup","data visualization, math",,Visual,No,No,No,No,"The dark grey bars on dark grey background could definitely be problematic, along with the column of thin black lines are likely also to be a problem for accessibility. Some color palette  changes would be in order here.",Yes,Grades 7 and above,,,,,,"What exactly is ""iteration?"" A ""'for' structure""? How do these terms specifically tie into the code below, and how are we ""repeating"" and ""iterating"" upon what things in the code?

It makes sense to see what the white, thin black, and thick black lines are being repeated, but a bit of a primer on what iteration and for structure is beforehand would be very helpful here.",2,,,,,"The comments are very sparse, and are simple ""draw white bars"", ""draw white bars."" I think especially something like generating the grey bars requires explanation on the magic numbers and how we're managing to get this back-and-forth repetition in the code. Something like ""We first generate the grey bars from pixel coordinate 40/405/wherever, then do the same thing slightly offset for the second set of grey bars."" would massively help here.",,1,,Yes,2,No,No,"Variables like y and num could definitely be renamed to names a bit more descriptive, like num_bars, y_coordinate, etc.",No,No,N/A,N/A or neither,2,4,0,0,No,Yes,Intermediate,"Possibly intermediate because of the for loops, and the magic numbers like 405, 30, 120, etc, could be explained a bit better overall.",6,
11/1/2023 2:06:32,Lance Cole,Kaleidoscope,https://p5js.org/examples/interaction-kaleidoscope.html,137,"for loop, custom variables, custom functions, method calling","for loop, custom variables, custom functions, method calling","angleMode, background, createButton, createCanvas, createSlider, DEGREES, draw, fullscreen, height, line, mouseButton, mouseIsPressed, mousePressed, mouseX, mouseY, pmouseX, pmouseY, pop, push, rotate, save, scale, setup, strokeWeight, translate, width","angleMode, background, createButton, createSlider, DEGREES, draw, fullscreen,line, mouseButton, mouseIsPressed, mousePressed, mouseX, mouseY, pmouseX, pmouseY, pop, push, rotate, save, scale, strokeWeight, translate, width","animation, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,No,No,,Yes,Grade 5 and below,"createButton, createSlider, save, background, fullscreen, translate,",,,,,,3,,,,,"Some documentation on what's happening in the draw function would help a lot, since this is more or less the meat and potatoes of the sketch.",,1,"It seems like I can neither see nor interact with any of the created buttons or sliders on the sketch example page. In the actual p5 editor, they show up fine, but on the example page, they actually seem to get covered by the code box below and are unable to be interacted with, even with them showing up as being created and in the DOM in Chrome's inspector. This seems like an example page-specific issue rather than a sketch issue.",Yes,4,No,No,"I would rename vars like sw, mx, my, pmx, and pmy to be more on the nose in their purpose and description.",No,No,Degrees,angleMode,7,6,0,0,No,Yes,Beginner,,7,
10/28/2023 15:15:27,Amy Chen,Keyboard,https://p5js.org/examples/input-keyboard.html,31,"if/else, for loop",none of the above,"background, createCanvas, draw, fill, floor, height, key, map, noStroke, random, rect, setup, width","key, map, floor",interactivity,,"Visual, Interactive/Kinesthetic",The colors are random,No,,,If the user does press the keys repeatedly and fast enough it will create flashing imagery. ,Yes,Grade 5 and below,,,,,,,2,,,,,"Explanation for lines 15 - 21 would be helpful. 
Line 23 - Adding information on how filling the rectangle using Math.floor would help the view understand this better ",,2,,Yes,5,No,No,,No,No,N/A,N/A or neither,1,2,4,0,No,Yes,Intermediate,"If there was more documentation on randFill, Math, and map, this code would be lean more towards being for beginners. ",7,
11/1/2023 17:14:25,Darren Kessner,Koch Curve,https://p5js.org/examples/simulate-koch-curve.html,136,"for loop, custom classes, method calling, object property assignment","for loop, custom classes, method calling, object property assignment","background, copy, createCanvas, createVector, draw, frameRate, height, line, PI, push, rotate, setup, stroke, Vector, width","createVector, Vector, rotate","math, simulation",,Visual,Yes,,Yes,No,,Yes,Grade 6,reference to Kock curve recursion,,,,,,5,,,,,,classes -- this example can be simplified (?) using push/pop and recursion,3,This is an interesting way of generating the Koch curve without explicit recursion.  The recursive step generates a new array of points.,Yes,4,No,No,"It would be interesting to have the non-class, recursive version with push/pop, for comparison.",No,No,Radians,N/A or neither,1,12,7,13,No,Yes,Advanced,,8,
10/29/2023 16:15:28,Darren Kessner,L-Systems,https://p5js.org/examples/simulate-l-systems.html,98,"if/else, for loop, custom variables, custom functions","if/else, for loop, custom variables, custom functions","background, cos, createCanvas, draw, ellipse, fill, height, line, radians, random, setup, sin, stroke",none,"animation, math, simulation",,Visual,Yes,,Yes,No,,Yes,Grades 7 and above,,,,,,,5,,,,,,,3,"Nice looking demo, but it is quite advanced.",No,5,No,No,,No,No,Degrees,radians,8,12,0,0,No,Yes,Advanced,"This is a complicated, but very cool example.",7,
10/28/2023 12:18:02,Amy Chen ,Lerp Color,https://p5js.org/examples/color-lerp-color.html,31,"for loop, custom variables","for loop, custom variables","background, color, colorMode, createCanvas, draw, fill, height, HSB, lerpColor, map, noStroke, rect, setup, text, width","colorMode, lerpColor, HSB, color",none of the above,,Visual,Yes,No,,,,No,,,,,,,,5,,,,,,,2,,Yes,5,No,No,,No,No,N/A,N/A or neither,0,4,0,0,No,Yes,Beginner,,10,
10/31/2023 12:36:52,Amy Chen,Lerp Color HSB - Editor Link,https://editor.p5js.org/malayvasa2001/sketches/MXJuQ6PXQ,27,"for loop, custom variables","for loop, custom variables","background, color, colorMode, createCanvas, draw, fill, height, HSB, lerpColor, map, noStroke, rect, setup, width"," HSB, lerpColor, map, fill, color, colorMode,",none of the above,,Visual,This is a gradient,No,,,,No,,,,,,,,4,,,,,"Line 11 & 12 - Specify what color the viewer should be seeing (colorA is green, colorB is blue) would help the viewer understand the code better. ",,1,,Yes,5,No,No,,No,No,N/A,N/A or neither,0,2,0,0,No,Yes,Beginner,,9,
10/23/2023 20:49:36,Group,Letters,https://p5js.org/examples/typography-letters.html,57,"if/else, custom variables",custom variables,"background, CENTER, char, createCanvas, draw, fill, height, loadFont, preload, setup, text, textAlign, textFont, textSize, translate, width","text, textAlign, loadFont, textFont",typography,,Visual,No,No,,,,Yes,Grades 7 and above,No,,,,,,5,,,,,,translate(),2,,No,4,No,No,,No,No,N/A,N/A or neither,2,6,0,0,No,Yes,Intermediate,,7,
11/1/2023 2:30:01,Lance Cole,Linear,https://p5js.org/examples/motion-linear.htmlhttps://p5js.org/examples/motion-linear.html,18,"if/else, custom variables, method calling","if/else, custom variables, method calling","background, createCanvas, draw, height, line, setup, stroke, width","draw, height, line, setup, stroke, width",animation,,Visual,"Bit hard to get with WebAIM and the moving line, but I have a gut feeling the scan line would end up having issues w/ contrast on the mid-dark-grey background.",Yes,Yes,No,,Yes,Grade 5 and below,"height, width, ",,,,,,1,,,,,,,1,,Yes,3,No,No,"I would rename a to something like line_position, personally.",No,No,N/A,N/A or neither,1,0,0,0,No,No,Beginner,,6,
10/28/2023 11:48:20,Amy Chen,Linear Gradient,https://p5js.org/examples/color-linear-gradient.html,47,"if/else, for loop, custom variables, custom functions","for loop, custom variables, custom functions","color, createCanvas, draw, height, lerpColor, line, map, noFill, noLoop, setup, stroke, width","lerpColor, color, map",none of the above,,Visual,No,No,,,,No,,,,,,,,4,,,,,"Line 1 - Explain how constants function in this code. 
Line 19 + 22 - More information on how the gradient functions would be beneficial. 
Line 33 - Explain inter",,3,,Yes,2,No,No,"While the abbreviations for the variables are straightforward, the viewer can get lost in reading the code, therefore expanding the abbreviations can help the viewer understand better. ",No,Yes,N/A,N/A or neither,4,8,0,0,No,Yes,Intermediate,,7,"While this concept is helpful to learn creative coding with ideas and concepts, the actual code itself might be more challenging without sufficient documentation. "
10/26/2023 10:20:20,Darren Kessner,Linear Interpolation,https://p5js.org/examples/math-linear-interpolation.html,25,custom variables,custom variables,"background, createCanvas, draw, ellipse, fill, lerp, mouseX, mouseY, noStroke, setup, stroke",lerp,"animation, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,,Yes,Grades 7 and above,lerp,,,,,,5,,,,,,,2,"This is a very elegant, simple demonstration of lerp()",No,5,No,No,,No,No,N/A,N/A or neither,2,0,0,0,No,No,Beginner,,10,
